irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
211825,cc1b5c17-2e3c-4a97-9f11-8ffb881021e6,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/304/401/6992.jpg,,Specimen,3.8558,-52.9708,FRENCH GUIANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ecastaphyllum pubescens DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. B. Patris,Catalog,Species
211826,bbb53a75-a2f5-4c58-8536-328cecc7d712,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ecclinusa abbreviata Ducke,Species,,Negatives/Types,Negatives/Types,1929,9,,NA,NA,A. Ducke,Catalog,Species
211827,ecb88a60-60e8-40ee-9d6b-9844f3c95644,2004-11-14,2015-03-06,,,Specimen,3.8811,-72.8667,COLOMBIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alternanthera dubia Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211828,c1cca6c7-a9ba-4aa0-aadd-17a34fc7e715,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ecclinusa balata Ducke,Species,,Negatives/Types,Negatives/Types,1927,6,,NA,NA,A. Ducke,Catalog,Species
211829,e81346a9-6976-49a5-9213-1b18bf3d52ba,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/281/570/20095.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ecclinusa ramiflora Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211830,fdd833cf-038f-448c-ba75-744b6297f14d,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ecclinusa spuria Ducke,Species,,Negatives/Types,Negatives/Types,1927,6,,NA,NA,A. Ducke,Catalog,Species
211831,14de512a-3ca3-4569-8b59-6adab25088ec,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eccremocarpus longiflorus Bonpl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211832,028ac434-e92a-4d35-97a1-c6f1be214cfd,2004-11-14,2015-03-06,,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eccremocarpus scaber Ruíz & Pav.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211833,6b0fd500-2442-40d5-a5f1-b1f46835db0c,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/329/516/7695.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eccremocarpus scaber var. sepium Bertero ex A. DC.,Variety,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. G. Bertero,Catalog,Species
211834,c68476df-023b-4574-bda8-c1cd2e844512,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Eccremocarpus viridis Ruíz & Pav.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
