irn,DarLatitude,DarLongitude,Where,Quality,RecordType,Backlog,TaxIDRank,What,DarCollectionCode,HasMM,URL,WhenAge,WhenAgeFrom,WhenAgeTo,DarYearCollected,WhenOrder,WhenTimeLabel,WhenAgeMid,Department,DarIndividualCount,Who
1071,,,U.S.A. | North America | North America |,2,Catalog,0,Species,Fossil | Invertebrates | Spiriferida | Delthyris sulcatus Hisinger |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Phanerozoic | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1072,,,U.S.A. | North America | North America |,2,Catalog,0,Class,Fossil | Invertebrates | Cephalopoda |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Biostratigraphy | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1073,,,U.S.A. | North America | North America |,2,Catalog,0,Species,Fossil | Invertebrates | Spiriferida | Cyrtia meta Hall |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Phanerozoic | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1074,,,U.S.A. | North America | North America |,2,Catalog,0,Species,Fossil | Invertebrates | Athyridida | Coelospira hemispherica Sowerby |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Phanerozoic | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1075,,,U.S.A. | North America | North America |,2,Catalog,0,Class,Fossil | Invertebrates | Cephalopoda |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Biostratigraphy | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1076,,,Canada | North America | North America |,2,Catalog,0,Species,Fossil | Invertebrates | Athyridida | Coelospira planoconvexa Hall |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Phanerozoic | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1077,,,U.S.A. | North America | North America |,2,Catalog,0,Species,Fossil | Invertebrates | Orthida | Dalmanella elegantula Dalman |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Phanerozoic | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1078,,,U.S.A. | North America | North America |,2,Catalog,0,Class,Fossil | Invertebrates | Cephalopoda |,Fossil Invertebrates,1,https://www.fieldmuseum.org/science/research/area/focus-fossil-invertebrates,Biostratigraphy | Paleozoic | Silurian | Niagaran |,,,,,,,Geology,1,
1079,,,,8,Accession,48,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1080,,,,8,Accession,76,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1081,,,,8,Accession,2,,Botany | Erythroxylum | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| Erythroxylum | 
1082,,,,8,Accession,0,,Botany | Asplenium | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| Asplenium | 
1083,,,,8,Accession,6,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1084,,, | U.S.A. | Illinois | Chicago |,7,Accession,67,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1085,,,,8,Accession,4,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1086,,, | Bolivia |,7,Accession,35,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1087,,, | Bolivia |,7,Accession,56,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
1088,,,,8,Accession,3,,Botany | Erythroxylum | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| Erythroxylum | 
1089,,, | Panama |,7,Accession,147,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,0,| 
